青りんご,アオリンゴ,王林とか
杏仁豆腐,アンニンドウフ,杏仁とはアンズの仁(さね)のことらしい。仁...?
サンクチュアリ,サンクチュアリ,「聖域」
道案内,ミチアンナイ,意外とむずかしい
ティラミス,ティラミス,「ティラ」「ミ」「ス」らしい
ファビュラス,ファビュラス,伝説的！
ジェラート,ジェラート,おいしい氷菓
シェパード,シェパード,賢くてかっこいい犬
ヴァイオリン,ヴァイオリン,日本語では提琴
イェール,イェール,伝説上の生き物
クォーテーション,クォーテーション,引用符のこと
スェード生地,スェードキジ,革の裏側を起毛させたもの
ドゥーブルフロマージュ,ドゥーブルフロマージュ,2層のチーズケーキ
ヴェネツィア,ヴェネツィア,イタリアの水の都
トゥーランドット,トゥーランドット,有名なオペラ
シークヮーサー,シークヮーサー,kwaもqwaもqaも「くぁ」ということは...
ツァラトゥストラ,ツァラトゥストラ,ニーチェのとても有名な哲学書
ハロウィーン,ハロウィーン,本来は古代ケルトのお祭り
うゐのおくやま,ウヰノオクヤマ,無常な現世のこと...らしい
ゑひもせず,ヱヒモセズ,悟りの境地...らしい
くょくょするな,クョクョスルナ,無い言葉。ネタ切れ。
